🛼🦽🚜
⛽咪咕直播,#genre#
CCTV-01咪咕,http://go.bkpcp.top/mg/cctv1
CCTV-02咪咕,http://go.bkpcp.top/mg/cctv2
CCTV-03咪咕,http://go.bkpcp.top/mg/cctv3
CCTV-04咪咕,http://go.bkpcp.top/mg/cctv4
CCTV-05咪咕,http://go.bkpcp.top/mg/cctv5
CCTV-5+咪咕,http://go.bkpcp.top/mg/cctv5p
CCTV-06咪咕,http://go.bkpcp.top/mg/cctv6
CCTV-07咪咕,http://go.bkpcp.top/mg/cctv7
CCTV-08咪咕,http://go.bkpcp.top/mg/cctv8
CCTV-09咪咕,http://go.bkpcp.top/mg/cctv9
CCTV-10咪咕,http://go.bkpcp.top/mg/cctv10
CCTV-11咪咕,http://go.bkpcp.top/mg/cctv11
CCTV-12咪咕,http://go.bkpcp.top/mg/cctv12
CCTV-13咪咕,http://go.bkpcp.top/mg/cctv13
CCTV-14咪咕,http://go.bkpcp.top/mg/cctv14
CCTV-15咪咕,http://go.bkpcp.top/mg/cctv15
CCTV-16咪咕,http://go.bkpcp.top/mg/cctv16
CCTV-17咪咕,http://go.bkpcp.top/mg/cctv17
cct4欧洲咪咕,http://go.bkpcp.top/mg/cctv4o
cct4美洲咪咕,http://go.bkpcp.top/mg/cctv4m
CGTN-西咪咕,http://go.bkpcp.top/mg/cgtne
CGTN-阿咪咕,http://go.bkpcp.top/mg/cgtna
CGTN-法咪咕,http://go.bkpcp.top/mg/cgtnf
北京卫视咪咕,http://go.bkpcp.top/mg/bjws
东方卫视咪咕,http://go.bkpcp.top/mg/dfws
浙江卫视咪咕,http://go.bkpcp.top/mg/zjws
江苏卫视咪咕,http://go.bkpcp.top/mg/jsws
湖南卫视咪咕,http://go.bkpcp.top/mg/hunws
广东卫视咪咕,http://go.bkpcp.top/mg/gdws
深圳卫视咪4k,http://go.bkpcp.top/mg/szws
山东卫视咪咕,http://go.bkpcp.top/mg/sdws
河南卫视咪咕,http://go.bkpcp.top/mg/hnws
江西卫视咪咕,http://go.bkpcp.top/mg/jxws
湖北卫视咪咕,http://go.bkpcp.top/mg/hubws
海南卫视咪咕,http://go.bkpcp.top/mg/hinws
陕西卫视咪咕,http://go.bkpcp.top/mg/sxws
兵团卫视咪咕,http://go.bkpcp.top/mg/btws
黑龙江视咪咕,http://go.bkpcp.top/mg/hljws
CCTV-01咪咕,http://183.162.224.36:35455/mgtv/608807420.m3u8
CCTV-02咪咕,http://183.162.224.36:35455/mgtv/631780532.m3u8
CCTV-03咪咕,http://183.162.224.36:35455/mgtv/624878271.m3u8
CCTV-04咪咕,http://183.162.224.36:35455/mgtv/631780421.m3u8
CCTV-05咪咕,http://183.162.224.36:35455/mgtv/641886683.m3u8
CCTV-5+咪咕,http://183.162.224.36:35455/mgtv/641886773.m3u8
CCTV-06咪咕,http://183.162.224.36:35455/mgtv/624878396.m3u8
CCTV-07咪咕,http://183.162.224.36:35455/mgtv/673168121.m3u8
CCTV-08咪咕,http://183.162.224.36:35455/mgtv/624878356.m3u8
CCTV-09咪咕,http://183.162.224.36:35455/mgtv/673168140.m3u8
CCTV-10咪咕,http://183.162.224.36:35455/mgtv/624878405.m3u8
CCTV-11咪咕,http://183.162.224.36:35455/mgtv/667987558.m3u8
CCTV-12咪咕,http://183.162.224.36:35455/mgtv/673168185.m3u8
CCTV-13咪咕,http://183.162.224.36:35455/mgtv/608807423.m3u8
CCTV-14咪咕,http://183.162.224.36:35455/mgtv/624878440.m3u8
CCTV-15咪咕,http://183.162.224.36:35455/mgtv/673168223.m3u8
CCTV-16咪咕,http://183.162.224.36:35455/nptv/cctv16.m3u8
CCTV-17咪咕,http://183.162.224.36:35455/mgtv/673168256.m3u8
CCTV-4k咪咕,http://183.162.224.36:35455/nptv/cctv4k.m3u8
CCTV-8k咪咕,http://183.162.224.36:35455/nptv/cctv8k.m3u8
cct4欧洲咪咕,http://183.162.224.36:35455/mgtv/608807419.m3u8
cct4美洲咪咕,http://183.162.224.36:35455/mgtv/608807416.m3u8
CETV-01咪咕,http://183.162.224.36:35455/mgtv/923287154.m3u8
CETV-02咪咕,http://183.162.224.36:35455/mgtv/923287211.m3u8
CETV-04咪咕,http://183.162.224.36:35455/mgtv/923287339.m3u8
动作电影咪咕,http://183.162.224.36:35455/mgtv/644368714.m3u8
家庭影院咪咕,http://183.162.224.36:35455/mgtv/644368373.m3u8
影迷电影咪咕,http://183.162.224.36:35455/mgtv/952383261.m3u8
东方卫视咪咕,http://183.162.224.36:35455/mgtv/651632648.m3u8
江西卫视咪咕,http://183.162.224.36:35455/mgtv/783847495.m3u8
湖北卫视咪咕,http://183.162.224.36:35455/mgtv/947472496.m3u8
陕西卫视咪咕,http://183.162.224.36:35455/mgtv/738910838.m3u8
直播体育咪咕,http://183.162.224.36:35455/mgtv/654102378.m3u8 

🚂广西频道,#genre#
南宁公共,rtmp://live.gxrb.com.cn/tv/nntv_gg
南宁公共,http://hls.nntv.cn/nnlive/GGPD_24.m3u8
南宁新闻综合,rtmp://hls.nntv.cn/nnlive/XWZH_24
南宁新闻综合,rtmp://live.gxrb.com.cn/tv/nntv
南宁新闻综合,http://hls.nntv.cn/nnlive/XWZH_24.m3u8
南宁都市生活,http://hls.nntv.cn/nnlive/WLSH_24.m3u8
南宁都市生活,http://615bbf179ba53515dccad7b1da5d1ad9.livehwc3.cn/hls.nntv.cn/nnlive/WLSH_24.m3u8?sub_m3u8=true&edge_slice=true&user_session_id=2598844eaee8a4265e706fc14b3fc11d
宾阳综合,rtmp://live.gxrb.com.cn/gx/binyang
宾阳综合,http://pulls.myun.tv/live/0dkp33j5.m3u8
来宾综合,http://zb.gxlbamc.com:1935/live/lbzh.stream/playlist.m3u8
桂林新闻,https://pull.gltvs.com:443/live/glxw/playlist.m3u8?v=b0528684bf934e120e1c30fc808e6576&t=1796868188
南宁影视娱乐,rtmp://hls.nntv.cn/nnlive/YSYL_244
南宁影视娱乐,http://hls.nntv.cn/nnlive/YSYL_244.m3u8

🚒卫视频道,#genre#
广东卫视,http://183.215.134.239:19901/tsfile/live/0125_1.m3u8?key=txiptv&playlive=1&authid=0
广东卫视,http://183.237.95.108:9901/tsfile/live/1029_1.m3u8?key=txiptv&playlive=0&authid=0
广东卫视,http://218.15.183.23:9901/tsfile/live/23008_1.m3u8
广东卫视,http://120.198.95.220:9901/tsfile/live/1006_1.m3u8?key=txiptv
广东卫视,http://58.19.43.46:9901/tsfile/live/1039_1.m3u8
广东卫视,http://120.238.94.10:9901/tsfile/live/1008_1.m3u8
广东卫视,http://120.198.101.106:9901/tsfile/live/1009_1.m3u8?key=txiptv
广东卫视,http://116.128.242.83:9901/tsfile/live/0124_1.m3u8?key=txiptv&amp;playlive=1&amp;authid=0
广东卫视,http://116.9.204.242:9901/tsfile/live/0125_2.m3u8?key=tvbox6_com&playlive=1&authid=0
广东卫视,http://112.99.193.34:9901/tsfile/live/1043_1.m3u8?#rtsp://60.13.23.179/PLTV/88888910/224/3221225551/10000100000000060000000000107331_0.smil
香港卫视,rtmp://zhibo.hkstv.tv/livestream/mutfysrq
香港卫视,http://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8?wsSession=3c732f93c14e1bc0c07641df-156388849014752&amp;wsIPSercert=8de23d0849e78e3b16ec92a809235421&amp;wsMonitor=0#rtmp://zhibo.hkstv.tv/livestream/mutfysrq
香港卫视,https://zhibo.hkstv.tv/livestream/mutfysrq/playlist.m3u8
香港卫视,https://piccpndali.v.myalicdn.com/audio/xianggangweishi_2.m3u8
浙江卫视,http://183.215.134.239:19901/tsfile/live/0124_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://58.19.43.46:9901/tsfile/live/1037_1.m3u8
浙江卫视,http://221.226.51.220:50081/newlive/live/hls/27/live.m3u8
浙江卫视,http://58.17.48.228:808/hls/32/index.m3u8
浙江卫视,http://116.128.242.83:9901/tsfile/live/1010_1.m3u8?key=txiptv&playlive=1&authid=0
浙江卫视,http://112.46.85.60:8009/hls/34/index.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8?
